Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Bihar,2005,Dacoity -Property,1. Dacoity,160,1212,4305764,61652278,5
Chandigarh,2005,Dacoity -Property,1. Dacoity,0,0,0,0,6
Chhattisgarh,2005,Dacoity -Property,1. Dacoity,47,204,1048911,8653691,7
Dadra & Nagar Haveli,2005,Dacoity -Property,1. Dacoity,3,3,117200,117200,8
Daman & Diu,2005,Dacoity -Property,1. Dacoity,2,4,60300,493300,9
Delhi,2005,Dacoity -Property,1. Dacoity,26,27,2045400,13335996,10
Goa,2005,Dacoity -Property,1. Dacoity,2,2,1588200,2077574,11
Gujarat,2005,Dacoity -Property,1. Dacoity,157,277,17577759,32272584,12
Haryana,2005,Dacoity -Property,1. Dacoity,76,87,12484500,20960375,13
Himachal Pradesh,2005,Dacoity -Property,1. Dacoity,6,6,1268309,1302207,14
Jammu & Kashmir,2005,Dacoity -Property,1. Dacoity,0,13,0,259800,15
Jharkhand,2005,Dacoity -Property,1. Dacoity,123,592,5355750,30431289,16
Karnataka,2005,Dacoity -Property,1. Dacoity,100,208,21534065,48554229,17
Kerala,2005,Dacoity -Property,1. Dacoity,47,97,5862500,35468140,18
Lakshadweep,2005,Dacoity -Property,1. Dacoity,0,0,0,0,19
Madhya Pradesh,2005,Dacoity -Property,1. Dacoity,95,147,10852110,15713984,20
Maharashtra,2005,Dacoity -Property,1. Dacoity,368,625,34210419,91865056,21
Manipur,2005,Dacoity -Property,1. Dacoity,0,4,0,477000,22
Meghalaya,2005,Dacoity -Property,1. Dacoity,4,63,134650,12236375,23
Mizoram,2005,Dacoity -Property,1. Dacoity,1,3,4680,7500,24
Nagaland,2005,Dacoity -Property,1. Dacoity,5,12,2000,538320,25
Odisha,2005,Dacoity -Property,1. Dacoity,111,184,8184380,25720589,26
Puducherry,2005,Dacoity -Property,1. Dacoity,0,1,0,0,27
Punjab,2005,Dacoity -Property,1. Dacoity,23,27,5256429,7198811,28
Rajasthan,2005,Dacoity -Property,1. Dacoity,30,39,11949799,14404860,29
Sikkim,2005,Dacoity -Property,1. Dacoity,0,2,0,193000,30
Tamil Nadu,2005,Dacoity -Property,1. Dacoity,67,73,27058249,29513736,31
Tripura,2005,Dacoity -Property,1. Dacoity,7,22,385713,1804380,32
Uttar Pradesh,2005,Dacoity -Property,1. Dacoity,146,216,37886988,60477237,33
Uttarakhand,2005,Dacoity -Property,1. Dacoity,22,44,2121650,4136113,34
West Bengal,2005,Dacoity -Property,1. Dacoity,67,211,7527867,24361976,35
Andaman & Nicobar Islands,2006,Dacoity -Property,1. Dacoity,0,0,0,0,1
Andhra Pradesh,2006,Dacoity -Property,1. Dacoity,107,174,14806698,32668783,2
Arunachal Pradesh,2006,Dacoity -Property,1. Dacoity,10,28,112550,675603,3
Assam,2006,Dacoity -Property,1. Dacoity,44,319,8900900,25923980,4
Bihar,2006,Dacoity -Property,1. Dacoity,157,1001,5736475,60402542,5
Chandigarh,2006,Dacoity -Property,1. Dacoity,0,1,0,0,6
Chhattisgarh,2006,Dacoity -Property,1. Dacoity,68,160,2548974,16274786,7
Dadra & Nagar Haveli,2006,Dacoity -Property,1. Dacoity,1,5,10000,840000,8
Daman & Diu,2006,Dacoity -Property,1. Dacoity,1,8,117800,295600,9
Delhi,2006,Dacoity -Property,1. Dacoity,13,14,600,13163050,10
Goa,2006,Dacoity -Property,1. Dacoity,1,7,63900,741481,11
Gujarat,2006,Dacoity -Property,1. Dacoity,137,280,19823619,56772711,12
Haryana,2006,Dacoity -Property,1. Dacoity,90,104,28483415,33723720,13
Himachal Pradesh,2006,Dacoity -Property,1. Dacoity,3,7,460500,1509816,14
Jammu & Kashmir,2006,Dacoity -Property,1. Dacoity,3,10,48370,164343,15
Jharkhand,2006,Dacoity -Property,1. Dacoity,117,534,3563462,31178749,16
Karnataka,2006,Dacoity -Property,1. Dacoity,109,202,12926983,43736255,17
Kerala,2006,Dacoity -Property,1. Dacoity,55,119,21345161,63215996,18
Lakshadweep,2006,Dacoity -Property,1. Dacoity,0,0,0,0,19
Madhya Pradesh,2006,Dacoity -Property,1. Dacoity,96,151,17679151,31541959,20
Maharashtra,2006,Dacoity -Property,1. Dacoity,403,659,39054710,130520906,21
Manipur,2006,Dacoity -Property,1. Dacoity,0,2,0,1247500,22
Meghalaya,2006,Dacoity -Property,1. Dacoity,10,57,419144,5296886,23
Mizoram,2006,Dacoity -Property,1. Dacoity,2,4,254235,286546,24
Nagaland,2006,Dacoity -Property,1. Dacoity,2,15,59850,683770,25
Odisha,2006,Dacoity -Property,1. Dacoity,138,239,20947380,40429350,26
Puducherry,2006,Dacoity -Property,1. Dacoity,2,2,246000,263000,27
Punjab,2006,Dacoity -Property,1. Dacoity,19,35,1880190,5205892,28
Rajasthan,2006,Dacoity -Property,1. Dacoity,28,35,2402350,4241341,29
Sikkim,2006,Dacoity -Property,1. Dacoity,0,0,0,0,30
Tamil Nadu,2006,Dacoity -Property,1. Dacoity,87,95,26180871,30516077,31
Tripura,2006,Dacoity -Property,1. Dacoity,8,18,419201,1436535,32
Uttar Pradesh,2006,Dacoity -Property,1. Dacoity,85,107,26236571,42634147,33
Uttarakhand,2006,Dacoity -Property,1. Dacoity,17,30,503639,2539539,34
West Bengal,2006,Dacoity -Property,1. Dacoity,63,177,5459381,21667478,35
Andaman & Nicobar Islands,2007,Dacoity -Property,1. Dacoity,2,5,308000,648000,1
Andhra Pradesh,2007,Dacoity -Property,1. Dacoity,89,138,36502464,49272166,2
Arunachal Pradesh,2007,Dacoity -Property,1. Dacoity,9,16,109790,1625690,3
Assam,2007,Dacoity -Property,1. Dacoity,49,299,3318828,14613245,4
Bihar,2007,Dacoity -Property,1. Dacoity,122,686,10119615,60582150,5
Chandigarh,2007,Dacoity -Property,1. Dacoity,2,2,29000,29000,6
Chhattisgarh,2007,Dacoity -Property,1. Dacoity,33,115,4217777,7981751,7
Dadra & Nagar Haveli,2007,Dacoity -Property,1. Dacoity,1,1,1200,1200,8
Daman & Diu,2007,Dacoity -Property,1. Dacoity,0,3,0,393700,9
Delhi,2007,Dacoity -Property,1. Dacoity,30,34,1310250,6374650,10
Goa,2007,Dacoity -Property,1. Dacoity,4,7,1142309,13597350,11
Gujarat,2007,Dacoity -Property,1. Dacoity,142,232,21745848,69620588,12
Haryana,2007,Dacoity -Property,1. Dacoity,102,139,27558400,43920703,13
Himachal Pradesh,2007,Dacoity -Property,1. Dacoity,3,4,1555100,4091834,14
Jammu & Kashmir,2007,Dacoity -Property,1. Dacoity,2,11,30600,525600,15
Jharkhand,2007,Dacoity -Property,1. Dacoity,75,523,11251492,50039989,16
Karnataka,2007,Dacoity -Property,1. Dacoity,112,178,55823201,92970218,17
Kerala,2007,Dacoity -Property,1. Dacoity,51,108,11872686,121457955,18
Lakshadweep,2007,Dacoity -Property,1. Dacoity,0,0,0,0,19
Madhya Pradesh,2007,Dacoity -Property,1. Dacoity,84,143,64031147,85301705,20
Maharashtra,2007,Dacoity -Property,1. Dacoity,506,709,99587563,210757013,21
Manipur,2007,Dacoity -Property,1. Dacoity,0,3,0,114945,22
Meghalaya,2007,Dacoity -Property,1. Dacoity,16,55,388800,3618757,23
Mizoram,2007,Dacoity -Property,1. Dacoity,0,0,0,0,24
Nagaland,2007,Dacoity -Property,1. Dacoity,1,7,11500,3456280,25
Odisha,2007,Dacoity -Property,1. Dacoity,133,247,14807120,76757738,26
Puducherry,2007,Dacoity -Property,1. Dacoity,1,1,500000,500000,27
Punjab,2007,Dacoity -Property,1. Dacoity,30,37,1581901,4262534,28
Rajasthan,2007,Dacoity -Property,1. Dacoity,37,71,13223097,23686813,29
Sikkim,2007,Dacoity -Property,1. Dacoity,0,0,0,0,30
Tamil Nadu,2007,Dacoity -Property,1. Dacoity,79,88,54160562,60223770,31
Tripura,2007,Dacoity -Property,1. Dacoity,4,14,14850,1531502,32
Uttar Pradesh,2007,Dacoity -Property,1. Dacoity,98,125,14568980,26799279,33
Uttarakhand,2007,Dacoity -Property,1. Dacoity,24,33,767276,7537259,34
West Bengal,2007,Dacoity -Property,1. Dacoity,45,146,7280069,33575331,35
Andaman & Nicobar Islands,2008,Dacoity -Property,1. Dacoity,0,0,0,0,1
Andhra Pradesh,2008,Dacoity -Property,1. Dacoity,77,108,5175890,19165296,2
Arunachal Pradesh,2008,Dacoity -Property,1. Dacoity,10,14,1085820,1123220,3
Assam,2008,Dacoity -Property,1. Dacoity,67,312,4455010,26136146,4
Bihar,2008,Dacoity -Property,1. Dacoity,142,686,6960575,48724649,5
Chandigarh,2008,Dacoity -Property,1. Dacoity,1,1,110000,110000,6
Chhattisgarh,2008,Dacoity -Property,1. Dacoity,43,124,8922130,17215702,7
Dadra & Nagar Haveli,2008,Dacoity -Property,1. Dacoity,0,1,0,37000,8
Daman & Diu,2008,Dacoity -Property,1. Dacoity,0,2,0,1480000,9
Delhi,2008,Dacoity -Property,1. Dacoity,18,24,11733000,19249000,10
Goa,2008,Dacoity -Property,1. Dacoity,0,2,0,6100,11
Gujarat,2008,Dacoity -Property,1. Dacoity,144,245,20476176,47516980,12
Haryana,2008,Dacoity -Property,1. Dacoity,99,120,27846605,73685380,13
Himachal Pradesh,2008,Dacoity -Property,1. Dacoity,5,6,6613138,8031003,14
Jammu & Kashmir,2008,Dacoity -Property,1. Dacoity,2,2,225000,279500,15
Jharkhand,2008,Dacoity -Property,1. Dacoity,89,416,4555825,89340742,16
Karnataka,2008,Dacoity -Property,1. Dacoity,173,268,59400800,100090700,17
Kerala,2008,Dacoity -Property,1. Dacoity,53,85,6063642,110557290,18
Lakshadweep,2008,Dacoity -Property,1. Dacoity,0,0,0,0,19
Madhya Pradesh,2008,Dacoity -Property,1. Dacoity,118,160,19281644,37704449,20
Maharashtra,2008,Dacoity -Property,1. Dacoity,568,795,46741350,203761313,21
Manipur,2008,Dacoity -Property,1. Dacoity,0,1,0,43000,22
Meghalaya,2008,Dacoity -Property,1. Dacoity,5,48,241000,2470722,23
Mizoram,2008,Dacoity -Property,1. Dacoity,0,2,0,156850,24
Nagaland,2008,Dacoity -Property,1. Dacoity,2,6,42000,1087500,25
Odisha,2008,Dacoity -Property,1. Dacoity,150,303,31230015,91493666,26
Puducherry,2008,Dacoity -Property,1. Dacoity,10,10,1456400,1923300,27
Punjab,2008,Dacoity -Property,1. Dacoity,32,40,7860028,9574280,28
Rajasthan,2008,Dacoity -Property,1. Dacoity,35,59,14855312,28940271,29
Sikkim,2008,Dacoity -Property,1. Dacoity,0,1,0,124500,30
Tamil Nadu,2008,Dacoity -Property,1. Dacoity,90,100,53840118,68092664,31
Tripura,2008,Dacoity -Property,1. Dacoity,0,13,0,1320120,32
Uttar Pradesh,2008,Dacoity -Property,1. Dacoity,84,103,29359674,38492225,33
Uttarakhand,2008,Dacoity -Property,1. Dacoity,6,10,2637000,3026200,34
West Bengal,2008,Dacoity -Property,1. Dacoity,57,184,5611895,33357037,35
Andaman & Nicobar Islands,2009,Dacoity -Property,1. Dacoity,0,0,0,0,1
Andhra Pradesh,2009,Dacoity -Property,1. Dacoity,51,101,14981520,24465809,2
Arunachal Pradesh,2009,Dacoity -Property,1. Dacoity,14,20,2721500,4500600,3
Assam,2009,Dacoity -Property,1. Dacoity,37,251,23132331,49749892,4
Bihar,2009,Dacoity -Property,1. Dacoity,131,654,8337986,45538299,5
Chandigarh,2009,Dacoity -Property,1. Dacoity,4,4,515000,515000,6
Chhattisgarh,2009,Dacoity -Property,1. Dacoity,39,134,2515870,13892747,7
Dadra & Nagar Haveli,2009,Dacoity -Property,1. Dacoity,4,9,1970600,4570769,8
Daman & Diu,2009,Dacoity -Property,1. Dacoity,0,0,0,0,9
Delhi,2009,Dacoity -Property,1. Dacoity,24,36,12222566,35479000,10
Goa,2009,Dacoity -Property,1. Dacoity,2,4,718865,2255300,11
Gujarat,2009,Dacoity -Property,1. Dacoity,135,243,37169667,73734850,12
Haryana,2009,Dacoity -Property,1. Dacoity,112,153,34545985,61000202,13
Himachal Pradesh,2009,Dacoity -Property,1. Dacoity,4,4,2304700,3313700,14
Jammu & Kashmir,2009,Dacoity -Property,1. Dacoity,1,1,810000,835000,15
Jharkhand,2009,Dacoity -Property,1. Dacoity,107,412,6140023,76188451,16
Karnataka,2009,Dacoity -Property,1. Dacoity,178,273,95860505,113802875,17
Kerala,2009,Dacoity -Property,1. Dacoity,70,102,22351474,41331781,18
Lakshadweep,2009,Dacoity -Property,1. Dacoity,0,3,0,500000,19
Madhya Pradesh,2009,Dacoity -Property,1. Dacoity,86,117,21361603,27798379,20
Maharashtra,2009,Dacoity -Property,1. Dacoity,539,772,71993623,170660614,21
Manipur,2009,Dacoity -Property,1. Dacoity,0,1,0,35000,22
Meghalaya,2009,Dacoity -Property,1. Dacoity,7,60,177270,2966364,23
Mizoram,2009,Dacoity -Property,1. Dacoity,0,2,0,3000,24
Nagaland,2009,Dacoity -Property,1. Dacoity,0,8,0,627025,25
Odisha,2009,Dacoity -Property,1. Dacoity,149,380,45455053,150458832,26
Puducherry,2009,Dacoity -Property,1. Dacoity,7,7,2056000,2056400,27
Punjab,2009,Dacoity -Property,1. Dacoity,31,37,3420850,5935802,28
Rajasthan,2009,Dacoity -Property,1. Dacoity,45,53,66671880,77975765,29
Sikkim,2009,Dacoity -Property,1. Dacoity,0,0,0,0,30
Tamil Nadu,2009,Dacoity -Property,1. Dacoity,78,97,34064303,47192518,31
Tripura,2009,Dacoity -Property,1. Dacoity,3,7,228000,515000,32
Uttar Pradesh,2009,Dacoity -Property,1. Dacoity,112,149,46315880,87757928,33
Uttarakhand,2009,Dacoity -Property,1. Dacoity,22,24,2499500,3599100,34
West Bengal,2009,Dacoity -Property,1. Dacoity,41,214,17211324,63527302,35
Andaman & Nicobar Islands,2010,Dacoity -Property,1. Dacoity,0,1,0,86150,1
Andhra Pradesh,2010,Dacoity -Property,1. Dacoity,97,133,18607717,30276549,2
Arunachal Pradesh,2010,Dacoity -Property,1. Dacoity,5,15,349000,1258330,3
Assam,2010,Dacoity -Property,1. Dacoity,43,248,12335002,46803955,4
Bihar,2010,Dacoity -Property,1. Dacoity,125,644,8596846,64448938,5
Chandigarh,2010,Dacoity -Property,1. Dacoity,5,5,36000,36000,6
Chhattisgarh,2010,Dacoity -Property,1. Dacoity,36,122,8225470,42282293,7
Dadra & Nagar Haveli,2010,Dacoity -Property,1. Dacoity,0,2,0,405000,8
Daman & Diu,2010,Dacoity -Property,1. Dacoity,5,6,1410000,2588000,9
Delhi,2010,Dacoity -Property,1. Dacoity,27,32,3075000,14044500,10
Goa,2010,Dacoity -Property,1. Dacoity,2,2,150000,270000,11
Gujarat,2010,Dacoity -Property,1. Dacoity,122,180,21733654,107788928,12
Haryana,2010,Dacoity -Property,1. Dacoity,103,147,56906440,82418528,13
Himachal Pradesh,2010,Dacoity -Property,1. Dacoity,1,2,250000,838400,14
Jammu & Kashmir,2010,Dacoity -Property,1. Dacoity,2,5,16500,397190,15
Jharkhand,2010,Dacoity -Property,1. Dacoity,104,335,11413820,43681106,16
Karnataka,2010,Dacoity -Property,1. Dacoity,186,272,58827626,70325623,17
Kerala,2010,Dacoity -Property,1. Dacoity,33,71,2665230,8078175,18
Lakshadweep,2010,Dacoity -Property,1. Dacoity,0,0,0,0,19
Madhya Pradesh,2010,Dacoity -Property,1. Dacoity,81,110,7021484540,7050070892,20
Maharashtra,2010,Dacoity -Property,1. Dacoity,569,765,137404539,218670715,21
Manipur,2010,Dacoity -Property,1. Dacoity,0,0,0,0,22
Meghalaya,2010,Dacoity -Property,1. Dacoity,6,33,89970,1655070,23
Mizoram,2010,Dacoity -Property,1. Dacoity,1,3,302000,397000,24
Nagaland,2010,Dacoity -Property,1. Dacoity,1,3,3000,16040,25
Odisha,2010,Dacoity -Property,1. Dacoity,187,346,20104915,84697959,26
Puducherry,2010,Dacoity -Property,1. Dacoity,2,2,2300000,2300000,27
Punjab,2010,Dacoity -Property,1. Dacoity,51,65,26338335,62562705,28
Rajasthan,2010,Dacoity -Property,1. Dacoity,25,36,27598990,29620960,29
Sikkim,2010,Dacoity -Property,1. Dacoity,0,1,0,6000,30
Tamil Nadu,2010,Dacoity -Property,1. Dacoity,74,85,62272356,80347154,31
Tripura,2010,Dacoity -Property,1. Dacoity,5,16,59000,811800,32
Uttar Pradesh,2010,Dacoity -Property,1. Dacoity,134,170,48700047,78967688,33
Uttarakhand,2010,Dacoity -Property,1. Dacoity,8,9,2546350,9226550,34
West Bengal,2010,Dacoity -Property,1. Dacoity,69,288,17476848,117321249,35
Andaman & Nicobar Islands,2001,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2001,Other heads of Property,6. Other Property,154,360,3293943,7786220,2
Arunachal Pradesh,2001,Other heads of Property,6. Other Property,1,20,4730,1204096,3
Assam,2001,Other heads of Property,6. Other Property,148,395,3459533,11379457,4
Bihar,2001,Other heads of Property,6. Other Property,285,1164,4527015,11368139,5
Chandigarh,2001,Other heads of Property,6. Other Property,2,2,101000,101000,6
Chhattisgarh,2001,Other heads of Property,6. Other Property,170,366,2310687,7145770,7
Dadra & Nagar Haveli,2001,Other heads of Property,6. Other Property,2,12,351780,3127831,8
Daman & Diu,2001,Other heads of Property,6. Other Property,0,7,0,3669850,9
Delhi,2001,Other heads of Property,6. Other Property,578,1714,13695153,841921782,10
Goa,2001,Other heads of Property,6. Other Property,1,34,10000,122480590,11
Gujarat,2001,Other heads of Property,6. Other Property,500,1243,12975707,213828834,12
Haryana,2001,Other heads of Property,6. Other Property,288,326,28709985,29351785,13
Himachal Pradesh,2001,Other heads of Property,6. Other Property,30,76,1007779,1673423,14
Jammu & Kashmir,2001,Other heads of Property,6. Other Property,0,0,0,0,15
Jharkhand,2001,Other heads of Property,6. Other Property,69,253,985394,11010074,16
Karnataka,2001,Other heads of Property,6. Other Property,145,325,4216802,10530737,17
Kerala,2001,Other heads of Property,6. Other Property,1,1,12500,12500,18
Lakshadweep,2001,Other heads of Property,6. Other Property,0,0,0,0,19
Madhya Pradesh,2001,Other heads of Property,6. Other Property,388,1331,3349521,20579958,20
Maharashtra,2001,Other heads of Property,6. Other Property,1133,2491,66749060,941300124,21
Manipur,2001,Other heads of Property,6. Other Property,23,91,2377000,10659750,22
Meghalaya,2001,Other heads of Property,6. Other Property,16,32,177365,1180415,23
Mizoram,2001,Other heads of Property,6. Other Property,56,186,2683220,4467540,24
Nagaland,2001,Other heads of Property,6. Other Property,18,133,1226687,51036027,25
Odisha,2001,Other heads of Property,6. Other Property,154,187,252396,4433658,26
Puducherry,2001,Other heads of Property,6. Other Property,1,2,750,57550,27
Punjab,2001,Other heads of Property,6. Other Property,472,481,61062478,61062478,28
Rajasthan,2001,Other heads of Property,6. Other Property,1307,2341,23094744,26975847,29
Sikkim,2001,Other heads of Property,6. Other Property,0,1,0,50000,30
Tamil Nadu,2001,Other heads of Property,6. Other Property,360,839,68489411,220705814,31
Tripura,2001,Other heads of Property,6. Other Property,4,29,35000,2317000,32
Uttar Pradesh,2001,Other heads of Property,6. Other Property,601,991,34220154,76498742,33
Uttarakhand,2001,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2001,Other heads of Property,6. Other Property,373,2113,18386936,104181303,35
Andaman & Nicobar Islands,2002,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2002,Other heads of Property,6. Other Property,207,491,5582933,20701567,2
Arunachal Pradesh,2002,Other heads of Property,6. Other Property,21,34,2461567,5816326,3
Assam,2002,Other heads of Property,6. Other Property,218,572,2452186,9470471,4
Bihar,2002,Other heads of Property,6. Other Property,224,1216,1336704,4552401,5
Chandigarh,2002,Other heads of Property,6. Other Property,10,10,117000,117000,6
Chhattisgarh,2002,Other heads of Property,6. Other Property,41,92,1730949,6036538,7
Dadra & Nagar Haveli,2002,Other heads of Property,6. Other Property,8,8,525000,525000,8
Daman & Diu,2002,Other heads of Property,6. Other Property,3,10,498640,6745248,9
Delhi,2002,Other heads of Property,6. Other Property,1780,2703,5499437,817719202,10
Goa,2002,Other heads of Property,6. Other Property,1,56,1332208,33644850,11
Gujarat,2002,Other heads of Property,6. Other Property,516,1155,21927354,2333126020,12
Haryana,2002,Other heads of Property,6. Other Property,295,341,27874325,30015057,13
Himachal Pradesh,2002,Other heads of Property,6. Other Property,29,66,2037448,2391348,14
Jammu & Kashmir,2002,Other heads of Property,6. Other Property,0,0,0,0,15
Jharkhand,2002,Other heads of Property,6. Other Property,133,182,4235306,4468484,16
Karnataka,2002,Other heads of Property,6. Other Property,316,378,9473988,15964455,17
Kerala,2002,Other heads of Property,6. Other Property,225,400,11879933,32901675,18
Lakshadweep,2002,Other heads of Property,6. Other Property,0,0,0,0,19
Madhya Pradesh,2002,Other heads of Property,6. Other Property,412,876,6577011,25257676,20
